REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
EASTERN,AKUAPIM NORTH,2009,COCOYAM,850,9,"7,650.00"
EASTERN,NEW JUABEN,2009,COCOYAM,700,7,"4,900.00"
EASTERN,YILO KROBO,2009,COCOYAM,850,6,"5,100.00"
EASTERN,EAST AKIM,2009,COCOYAM,"2,000.00",9,"18,000.00"
EASTERN,ATIWA,2009,COCOYAM,"4,850.00",8,"38,800.00"
EASTERN,KWAEBIBIREM,2009,COCOYAM,"5,000.00",8.5,"42,500.00"
EASTERN,BIRIM NORTH,2009,COCOYAM,"2,000.00",7.8,"15,600.00"
EASTERN,KWAHU WEST,2009,COCOYAM,950,7,"6,650.00"
EASTERN,KWAHU WEST,2009,COCOYAM,950,7.5,"7,125.00"
EASTERN,FANTEAKWA,2009,COCOYAM,"7,800.00",9.5,"74,100.00"
EASTERN,AFRAM PLAINS,2009,COCOYAM,300,5,"1,500.00"
EASTERN,ASUOGYAMAN,2009,COCOYAM,300,6,"1,800.00"
EASTERN,MANYA KROBO,2009,COCOYAM,250,6,"1,500.00"
EASTERN,BIRIM SOUTH,2009,PLANTAIN,"9,900.00",10,"99,000.00"
EASTERN,WEST AKIM,2009,PLANTAIN,"9,400.00",10,"94,000.00"
EASTERN,SUHUM KRABOA COALTAR,2009,PLANTAIN,"10,300.00",10,"103,000.00"
EASTERN,AKUAPIM SOUTH,2009,PLANTAIN,"2,100.00",10,"21,000.00"
EASTERN,AKUAPIM NORTH,2009,PLANTAIN,"1,500.00",10.5,"15,750.00"
EASTERN,NEW JUABEN,2009,PLANTAIN,800,10.6,"8,480.00"
EASTERN,YILO KROBO,2009,PLANTAIN,700,9,"6,300.00"
EASTERN,EAST AKIM,2009,PLANTAIN,"4,500.00",10,"45,000.00"
EASTERN,ATIWA,2009,PLANTAIN,"7,150.00",10,"71,500.00"
EASTERN,KWAEBIBIREM,2009,PLANTAIN,"6,900.00",10.6,"73,140.00"
EASTERN,BIRIM NORTH,2009,PLANTAIN,"6,300.00",10.8,"68,040.00"
EASTERN,KWAHU WEST,2009,PLANTAIN,"2,700.00",10,"27,000.00"
EASTERN,KWAHU WEST,2009,PLANTAIN,"4,800.00",10.5,"50,400.00"
EASTERN,FANTEAKWA,2009,PLANTAIN,"13,400.00",10,"134,000.00"
EASTERN,AFRAM PLAINS,2009,PLANTAIN,700,7,"4,900.00"
EASTERN,ASUOGYAMAN,2009,PLANTAIN,"1,550.00",9,"13,950.00"
EASTERN,MANYA KROBO,2009,PLANTAIN,750,9,"6,750.00"
VOLTA,NORTH DAYI (KPANDO),2009,COCOYAM,100,5.54,554
VOLTA,SOUTH DAYI,2009,COCOYAM,110,4.53,498.3
VOLTA,HOHOE MUNICIPAL,2009,COCOYAM,200,3.2,640
VOLTA,JASIKAN,2009,COCOYAM,"2,050.00",9.98,"20,448.75"
VOLTA,KADJEBI,2009,COCOYAM,"2,210.00",7,"15,470.00"
VOLTA,NKWANTA,2009,COCOYAM,840,5.01,"4,208.40"
VOLTA,KRACHI WEST,2009,COCOYAM,70,3.02,211.4
VOLTA,KRACHI EAST,2009,COCOYAM,100,4.02,402
VOLTA,HO MUNICIPAL,2009,COCOYAM,450,3.5,"1,575.00"
VOLTA,ADAKLU ANYIGBE,2009,COCOYAM,20,4.54,90.8
VOLTA,NORTH DAYI (KPANDO),2009,PLANTAIN,200,5.88,"1,176.00"
VOLTA,SOUTH DAYI,2009,PLANTAIN,160,6.6,"1,056.00"
VOLTA,HOHOE MUNICIPAL,2009,PLANTAIN,640,5.8,"3,712.00"
VOLTA,JASIKAN,2009,PLANTAIN,"3,360.00",8.93,"29,988.00"
VOLTA,KADJEBI,2009,PLANTAIN,"2,450.00",7.6,"18,620.00"
VOLTA,NKWANTA,2009,PLANTAIN,510,7.01,"3,575.10"
VOLTA,KRACHI WEST,2009,PLANTAIN,130,5.64,733.2
VOLTA,KRACHI EAST,2009,PLANTAIN,210,6,"1,260.00"
VOLTA,HO MUNICIPAL,2009,PLANTAIN,280,10,"2,800.00"
VOLTA,ADAKLU ANYIGBE,2009,PLANTAIN,20,5.18,103.6
VOLTA,NKWANTA,2009,SORGHUM,610,1.44,878.4
VOLTA,KRACHI WEST,2009,SORGHUM,"2,510.00",1.12,"2,811.20"
VOLTA,KRACHI EAST,2009,SORGHUM,"1,230.00",1.11,"1,365.30"
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2009,COCOYAM,"2,950.00",5.77,"17,009.88"
ASHANTI,AMANSIE CENTRAL,2009,COCOYAM,"1,710.00",7.83,"13,388.80"
ASHANTI,AMANSIE WEST,2009,COCOYAM,"1,230.00",7.94,"9,762.53"
ASHANTI,EJURA SEKYEREDUMASE,2009,COCOYAM,70,4.53,317.22
ASHANTI,SEKYERE WEST ,2009,COCOYAM,"2,260.00",6.62,"14,962.26"
ASHANTI,SEKYERE EAST,2009,COCOYAM,"3,660.00",6.68,"24,462.11"
ASHANTI,AFIGYA SEKYERE,2009,COCOYAM,"3,860.00",6.97,"26,895.63"
ASHANTI,AHAFO ANO NORTH,2009,COCOYAM,"7,370.00",7.17,"52,818.33"
ASHANTI,AHAFO ANO SOUTH,2009,COCOYAM,"9,840.00",6.44,"63,396.98"
ASHANTI,ATWIMA MPONUA,2009,COCOYAM,"6,280.00",5.68,"35,665.80"
ASHANTI,ATWIMA NWABIAGYA,2009,COCOYAM,"5,430.00",5.44,"29,565.64"
ASHANTI,EJUSU JUABEN,2009,COCOYAM,"2,480.00",6.71,"16,643.10"
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2009,COCOYAM,"1,070.00",6.92,"7,404.54"
ASHANTI,KWABRE ,2009,COCOYAM,"3,120.00",6.61,"20,613.85"
ASHANTI,OFFINSO,2009,COCOYAM,"1,630.00",6.23,"10,156.43"
ASHANTI,ADANSI NORTH,2009,COCOYAM,"1,160.00",5.79,"6,713.88"
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2009,COCOYAM,540,6.47,"3,496.12"
ASHANTI,ADANSI  SOUTH,2009,COCOYAM,"2,590.00",6.64,"17,195.07"
ASHANTI,ASANTE AKIM NORTH,2009,COCOYAM,"1,460.00",7.44,"10,866.66"
ASHANTI,ASANTE AKIM SOUTH,2009,COCOYAM,"9,640.00",4.84,"46,616.22"
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2009,COCOYAM,20,5.65,112.94
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2009,PLANTAIN,"6,640.00",10.11,"67,134.85"
ASHANTI,AMANSIE CENTRAL,2009,PLANTAIN,"4,430.00",9.11,"40,374.10"
ASHANTI,AMANSIE WEST,2009,PLANTAIN,"3,100.00",9.97,"30,906.06"
ASHANTI,EJURA SEKYEREDUMASE,2009,PLANTAIN,810,9.07,"7,344.13"
ASHANTI,SEKYERE WEST ,2009,PLANTAIN,"3,730.00",11.25,"41,969.87"
ASHANTI,SEKYERE EAST,2009,PLANTAIN,"3,300.00",12.28,"40,536.98"
ASHANTI,AFIGYA SEKYERE,2009,PLANTAIN,"5,440.00",9.14,"49,696.03"
ASHANTI,AHAFO ANO NORTH,2009,PLANTAIN,"6,600.00",10.86,"71,668.63"
ASHANTI,AHAFO ANO SOUTH,2009,PLANTAIN,"7,220.00",10.11,"73,003.85"
ASHANTI,ATWIMA MPONUA,2009,PLANTAIN,"7,470.00",9.98,"74,568.26"
ASHANTI,ATWIMA NWABIAGYA,2009,PLANTAIN,"4,300.00",10.11,"43,474.42"
ASHANTI,EJUSU JUABEN,2009,PLANTAIN,"3,429.90",10.23,"35,088.05"
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2009,PLANTAIN,"3,300.00",10.18,"33,604.20"
ASHANTI,KWABRE ,2009,PLANTAIN,"2,470.00",10.7,"26,421.83"
ASHANTI,OFFINSO,2009,PLANTAIN,"5,980.00",10.79,"64,513.50"
ASHANTI,ADANSI NORTH,2009,PLANTAIN,"4,130.00",10.34,"42,698.18"
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2009,PLANTAIN,"1,080.00",8.83,"9,540.00"
ASHANTI,ADANSI  SOUTH,2009,PLANTAIN,"3,410.00",10.93,"37,282.41"
ASHANTI,ASANTE AKIM NORTH,2009,PLANTAIN,"5,700.00",10.31,"58,782.95"
ASHANTI,ASANTE AKIM SOUTH,2009,PLANTAIN,"8,390.00",12.12,"101,690.04"
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2009,PLANTAIN,"1,040.00",9.47,"9,851.06"
ASHANTI,EJURA SEKYEREDUMASE,2009,GROUNDNUT,"4,460.00",1.47,"6,570.88"
BRONG AHAFO, SUNYANI MUNICIPAL ,2009,COCOYAM,"1,950.00",5.25,"10,238.00"
BRONG AHAFO,ASUTIFI,2009,COCOYAM,"12,550.00",6.85,"85,991.44"
BRONG AHAFO, WENCHI MUNICIPAL ,2009,COCOYAM,"2,310.00",5.38,"12,417.25"
BRONG AHAFO,DORMA AHENKRO,2009,COCOYAM,"4,360.00",5.12,"22,330.24"
BRONG AHAFO,BEREKUM,2009,COCOYAM,"4,300.00",6.76,"29,080.53"
BRONG AHAFO,TANO NORTH,2009,COCOYAM,"2,010.00",7.07,"14,220.15"
BRONG AHAFO,TANO SOUTH,2009,COCOYAM,"2,250.00",6.52,"14,668.92"
BRONG AHAFO,NKORANZA,2009,COCOYAM,650,4.92,"3,196.33"
BRONG AHAFO,TECHIMAN MUNICIPAL,2009,COCOYAM,"2,970.00",7.23,"21,459.68"
BRONG AHAFO,ASUNAFO NORTH,2009,COCOYAM,"3,480.00",7.61,"26,466.61"
BRONG AHAFO,ASUNAFO SOUTH,2009,COCOYAM,"9,000.00",7.45,"67,038.31"
BRONG AHAFO,JAMAN NORTH,2009,COCOYAM,990,6.94,"6,872.77"
BRONG AHAFO,JAMAN SOUTH,2009,COCOYAM,"2,370.00",6.88,"16,294.75"
BRONG AHAFO,KINTAMPO NORTH,2009,COCOYAM,260,6.63,"1,724.53"
BRONG AHAFO,KINTAMPO SOUTH,2009,COCOYAM,440,6.48,"2,851.44"
BRONG AHAFO, SUNYANI MUNICIPAL ,2009,PLANTAIN,"3,950.00",11.3,"44,650.00"
BRONG AHAFO,ASUTIFI,2009,PLANTAIN,"17,660.00",16.09,"284,063.66"
BRONG AHAFO, WENCHI MUNICIPAL ,2009,PLANTAIN,"1,060.00",7.63,"8,087.85"
BRONG AHAFO,DORMA AHENKRO,2009,PLANTAIN,"3,060.00",9.62,"29,433.76"
BRONG AHAFO,BEREKUM,2009,PLANTAIN,"2,670.00",10.02,"26,753.94"
BRONG AHAFO,TANO NORTH,2009,PLANTAIN,"3,780.00",11.72,"44,308.61"
BRONG AHAFO,TANO SOUTH,2009,PLANTAIN,"3,910.00",11.58,"45,264.73"
BRONG AHAFO,NKORANZA,2009,PLANTAIN,520,7.23,"3,760.31"
BRONG AHAFO,TECHIMAN MUNICIPAL,2009,PLANTAIN,"8,120.00",10.61,"86,134.61"
BRONG AHAFO,ASUNAFO NORTH,2009,PLANTAIN,"8,250.00",18.94,"156,265.88"
BRONG AHAFO,ASUNAFO SOUTH,2009,PLANTAIN,"11,140.00",18.91,"210,680.91"
BRONG AHAFO,JAMAN NORTH,2009,PLANTAIN,640,7.56,"4,835.22"
BRONG AHAFO,JAMAN SOUTH,2009,PLANTAIN,980,7.69,"7,538.92"
BRONG AHAFO,KINTAMPO NORTH,2009,PLANTAIN,40,7.46,298.29
BRONG AHAFO,KINTAMPO SOUTH,2009,PLANTAIN,50,6.79,339.58
UPPER WEST,WA WEST,2009,MILLET,"7,200.00",0.7,"5,040.00"
UPPER WEST,WA EAST,2009,MILLET,"6,400.00",0.65,"4,160.00"
UPPER WEST,WA MUNICIPAL,2009,MILLET,"7,699.84",1.4,"10,780.00"
UPPER WEST,LAWRA,2009,MILLET,"12,700.00",1.6,"20,320.00"
UPPER WEST,SISSALA EAST,2009,MILLET,"4,600.00",1.6,"7,360.00"
UPPER WEST,SISSALA WEST,2009,MILLET,"4,800.00",0.87,"4,180.00"
UPPER WEST,JIRAPA-LAMBUSSIE,2009,MILLET,"12,800.00",0.9,"11,520.00"
UPPER WEST,NADOWLI,2009,MILLET,"10,600.00",0.8,"8,480.00"
UPPER WEST,WA WEST,2009,SORGHUM,"5,700.00",1.1,"6,270.00"
UPPER WEST,WA EAST,2009,SORGHUM,"4,100.00",0.9,"3,690.00"
UPPER WEST,WA MUNICIPAL,2009,SORGHUM,"6,400.00",1.5,"9,600.00"
UPPER WEST,LAWRA,2009,SORGHUM,"54,300.00",1.1,"59,730.00"
UPPER WEST,SISSALA EAST,2009,SORGHUM,"1,000.00",1.2,"1,200.00"
UPPER WEST,SISSALA WEST,2009,SORGHUM,"8,800.00",1,"8,800.00"
UPPER WEST,JIRAPA-LAMBUSSIE,2009,SORGHUM,"14,700.00",0.9,"13,230.00"
UPPER WEST,NADOWLI,2009,SORGHUM,"18,900.00",1,"18,900.00"
UPPER WEST,WA WEST,2009,GROUNDNUT,"17,800.00",1.7,"30,260.00"
UPPER WEST,WA EAST,2009,GROUNDNUT,"11,900.00",1.6,"19,040.00"
UPPER WEST,WA MUNICIPAL,2009,GROUNDNUT,"14,200.00",1.7,"24,140.00"
UPPER WEST,LAWRA,2009,GROUNDNUT,"13,800.00",1.5,"20,700.00"
UPPER WEST,SISSALA EAST,2009,GROUNDNUT,"10,500.00",1.78,"18,690.00"
UPPER WEST,SISSALA WEST,2009,GROUNDNUT,"6,900.00",1.78,"12,280.00"
UPPER WEST,JIRAPA-LAMBUSSIE,2009,GROUNDNUT,"21,700.00",1.5,"32,550.00"
UPPER WEST,NADOWLI,2009,GROUNDNUT,"28,700.00",1.5,"43,050.00"
UPPER WEST,WA WEST,2009,COWPEA,"4,800.00",1,"4,800.00"
UPPER WEST,WA EAST,2009,COWPEA,"4,900.00",0.9,"4,410.00"
UPPER WEST,WA MUNICIPAL,2009,COWPEA,"3,200.00",1.18,"3,770.00"
UPPER WEST,LAWRA,2009,COWPEA,"3,400.00",1.1,"3,740.00"
UPPER WEST,SISSALA EAST,2009,COWPEA,"7,200.00",1.09,"7,840.00"
UPPER WEST,SISSALA WEST,2009,COWPEA,"8,100.00",1.1,"8,910.00"
UPPER WEST,JIRAPA-LAMBUSSIE,2009,COWPEA,"14,600.00",1.26,"18,390.00"
UPPER WEST,NADOWLI,2009,COWPEA,"21,900.00",1.25,"27,370.00"
UPPER EAST,BUILSA,2009,MILLET,"8,350.00",1.44,"12,020.00"
UPPER EAST,KASINA-NANKANA,2009,MILLET,"9,480.00",1.38,"13,090.00"
UPPER EAST,BOLGATANGA MUNICIPAL,2009,MILLET,"6,780.00",1.03,"6,980.00"
UPPER EAST,BAWKU MUNICIPAL,2009,MILLET,"13,880.00",1.78,"24,720.00"
UPPER EAST,BAWKU WEST,2009,MILLET,"10,190.00",1.29,"13,140.00"
UPPER EAST,BONGO,2009,MILLET,"2,850.00",1.08,"3,080.00"
UPPER EAST,GARU TEMPANE,2009,MILLET,"7,400.00",0.44,"3,260.00"
UPPER EAST,TALENSI NABDAM,2009,MILLET,"4,990.00",0.67,"3,340.00"
UPPER EAST,BUILSA,2009,SORGHUM,"10,210.00",1.8,"18,380.00"
UPPER EAST,KASINA-NANKANA,2009,SORGHUM,"14,090.00",1.31,"18,460.00"
UPPER EAST,BOLGATANGA MUNICIPAL,2009,SORGHUM,"8,460.00",1.25,"10,570.00"
UPPER EAST,BAWKU MUNICIPAL,2009,SORGHUM,"6,760.00",1.67,"11,290.00"
UPPER EAST,BAWKU WEST,2009,SORGHUM,"9,530.00",1.06,"10,100.00"
UPPER EAST,BONGO,2009,SORGHUM,"4,480.00",1.03,"4,620.00"
UPPER EAST,GARU TEMPANE,2009,SORGHUM,"11,920.00",0.72,"8,580.00"
UPPER EAST,TALENSI NABDAM,2009,SORGHUM,"5,090.00",1.08,"5,500.00"
UPPER EAST,BUILSA,2009,GROUNDNUT,"9,030.00",1.3,"11,740.00"
UPPER EAST,KASINA-NANKANA,2009,GROUNDNUT,"19,040.00",0.92,"17,510.00"
UPPER EAST,BOLGATANGA MUNICIPAL,2009,GROUNDNUT,"10,050.00",0.47,"4,720.00"
UPPER EAST,BAWKU MUNICIPAL,2009,GROUNDNUT,"13,750.00",0.89,"12,240.00"
UPPER EAST,BAWKU WEST,2009,GROUNDNUT,"7,580.00",0.81,"6,140.00"
UPPER EAST,BONGO,2009,GROUNDNUT,"7,430.00",0.53,"3,940.00"
UPPER EAST,GARU TEMPANE,2009,GROUNDNUT,"7,800.00",0.44,"3,430.00"
UPPER EAST,TALENSI NABDAM,2009,GROUNDNUT,"5,390.00",0.77,"4,150.00"
UPPER EAST,BUILSA,2009,COWPEA,"2,410.00",0.7,"1,690.00"
UPPER EAST,KASINA-NANKANA,2009,COWPEA,"1,670.00",0.64,"1,070.00"
UPPER EAST,BOLGATANGA MUNICIPAL,2009,COWPEA,"4,860.00",1.2,"5,830.00"
UPPER EAST,BAWKU MUNICIPAL,2009,COWPEA,"2,860.00",1.11,"3,180.00"
UPPER EAST,BAWKU WEST,2009,COWPEA,"8,210.00",0.94,"7,710.00"
UPPER EAST,BONGO,2009,COWPEA,"2,420.00",0.62,"1,500.00"
UPPER EAST,GARU TEMPANE,2009,COWPEA,"8,120.00",0.56,"4,550.00"
UPPER EAST,TALENSI NABDAM,2009,COWPEA,"2,980.00",0.42,"1,250.00"
WESTERN,SHAMA AHANTA EAST,2010,MAIZE,"1,000.00",1.13,"1,130.00"
WESTERN,WEST AHANTA,2010,MAIZE,"1,490.00",1.2,"1,788.00"
WESTERN,MPORHOR WASSA EAST,2010,MAIZE,"2,060.00",1.34,"2,760.40"
WESTERN,WASSA WEST,2010,MAIZE,"2,280.00",1.3,"2,964.00"
WESTERN,EAST NZEMA,2010,MAIZE,"1,650.00",1.39,"2,293.50"
WESTERN,JOMORO,2010,MAIZE,920,1.31,"1,205.20"
WESTERN,AMENFI EAST,2010,MAIZE,"4,670.00",1.4,"6,538.00"
WESTERN,AMENFI  WEST (WASSA AMENFI),2010,MAIZE,"4,340.00",1.41,"6,119.40"
WESTERN,AOWIN -SUAMAN,2010,MAIZE,"8,120.00",1.58,"12,829.60"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2010,MAIZE,"5,180.00",1.43,"7,407.40"
WESTERN,SEFWI-WIAWSO,2010,MAIZE,"7,050.00",1.5,"10,575.00"
WESTERN,BIA,2010,MAIZE,"5,010.00",1.6,"8,016.00"
WESTERN,JUABESO,2010,MAIZE,"6,950.00",1.52,"10,564.00"
WESTERN,SHAMA AHANTA EAST,2010,RICE,130,1.21,157.3
WESTERN,WEST AHANTA,2010,RICE,110,1.2,132
WESTERN,MPORHOR WASSA EAST,2010,RICE,110,1.22,134.2
WESTERN,WASSA WEST,2010,RICE,"1,430.00",1.2,"1,716.00"
WESTERN,EAST NZEMA,2010,RICE,610,1.4,854
WESTERN,JOMORO,2010,RICE,"1,030.00",1.23,"1,266.90"
WESTERN,AMENFI EAST,2010,RICE,"1,220.00",1.25,"1,525.00"
WESTERN,AMENFI  WEST (WASSA AMENFI),2010,RICE,"1,420.00",1.35,"1,917.00"
WESTERN,AOWIN -SUAMAN,2010,RICE,"1,820.00",1.45,"2,639.00"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2010,RICE,"1,650.00",1.18,"1,947.00"
WESTERN,SEFWI-WIAWSO,2010,RICE,"2,750.00",1.35,"3,712.50"
WESTERN,BIA,2010,RICE,"2,110.00",1.25,"2,637.50"
WESTERN,JUABESO,2010,RICE,"2,740.00",1.6,"4,384.00"
WESTERN,SHAMA AHANTA EAST,2010,CASSAVA,"2,400.00",7.9,"18,960.00"
WESTERN,WEST AHANTA,2010,CASSAVA,"4,160.00",9.32,"38,771.20"
WESTERN,MPORHOR WASSA EAST,2010,CASSAVA,"5,760.00",10.8,"62,208.00"
WESTERN,WASSA WEST,2010,CASSAVA,"4,000.00",7.9,"31,600.00"
WESTERN,EAST NZEMA,2010,CASSAVA,"5,940.00",9.4,"55,836.00"
WESTERN,JOMORO,2010,CASSAVA,"4,840.00",9.75,"47,190.00"
WESTERN,AMENFI EAST,2010,CASSAVA,"5,310.00",7.9,"41,949.00"
WESTERN,AMENFI  WEST (WASSA AMENFI),2010,CASSAVA,"3,560.00",9.2,"32,752.00"
WESTERN,AOWIN -SUAMAN,2010,CASSAVA,"11,280.00",7.85,"88,548.00"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2010,CASSAVA,"7,500.00",9.34,"70,050.00"
WESTERN,SEFWI-WIAWSO,2010,CASSAVA,"9,980.00",10.5,"104,790.00"
WESTERN,BIA,2010,CASSAVA,"3,880.00",8,"31,040.00"
WESTERN,JUABESO,2010,CASSAVA,"5,840.00",10.9,"63,656.00"
WESTERN,SHAMA AHANTA EAST,2010,YAM,35,3.6,126
WESTERN,WEST AHANTA,2010,YAM,35,3.4,119
WESTERN,MPORHOR WASSA EAST,2010,YAM,210,3.7,777
WESTERN,WASSA WEST,2010,YAM,190,4.7,893
WESTERN,EAST NZEMA,2010,YAM,40,3.34,133.6
WESTERN,JOMORO,2010,YAM,25,3.12,78
WESTERN,AMENFI EAST,2010,YAM,540,7.41,"4,001.40"
WESTERN,AMENFI  WEST (WASSA AMENFI),2010,YAM,610,6.38,"3,891.80"
WESTERN,AOWIN -SUAMAN,2010,YAM,850,6.78,"5,763.00"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2010,YAM,"2,610.00",7.33,"19,131.30"
WESTERN,SEFWI-WIAWSO,2010,YAM,"1,740.00",8.57,"14,911.80"
WESTERN,BIA,2010,YAM,"1,890.00",3.8,"7,182.00"
WESTERN,JUABESO,2010,YAM,"1,780.00",10.2,"18,156.00"
CENTRAL,UPPER DENKYIRA,2010,MAIZE,"9,825.00",2.45,"24,071.25"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2010,MAIZE,"6,570.00",2.85,"18,724.50"
CENTRAL,ASSIN SOUTH,2010,MAIZE,"4,075.00",2.42,"9,861.50"
CENTRAL,ASSIN NORTH,2010,MAIZE,"9,835.00",1.42,"13,965.70"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2010,MAIZE,"4,015.00",1.82,"7,307.30"
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2010,MAIZE,"5,010.00",2,"10,020.00"
CENTRAL,MFANTSIMAN,2010,MAIZE,"6,945.00",2.15,"14,931.75"
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2010,MAIZE,"13,310.00",1.55,"20,630.50"
CENTRAL,AJUMAKO-ENYAN-ESIAM,2010,MAIZE,"5,560.00",2.05,"11,398.00"
CENTRAL,AWUTU-EFUTU-SENYA,2010,MAIZE,"18,000.00",1.65,"29,700.00"
CENTRAL,GOMOA,2010,MAIZE,"6,110.00",2,"12,220.00"
CENTRAL,CAPE COAST,2010,MAIZE,"8,115.00",1.2,"9,738.00"
CENTRAL,AGONA,2010,MAIZE,"5,700.00",2.25,"12,825.00"
CENTRAL,UPPER DENKYIRA,2010,RICE,760,1.2,912
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2010,RICE,585,1.2,702
CENTRAL,ASSIN SOUTH,2010,RICE,610,1.2,732
CENTRAL,ASSIN NORTH,2010,RICE,"2,115.00",1.2,"2,538.00"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2010,RICE,135,1.4,189
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2010,RICE,45,1.25,56.25
CENTRAL,GOMOA,2010,RICE,40,2.8,112
CENTRAL,UPPER DENKYIRA,2010,CASSAVA,"8,750.00",20.5,"179,375.00"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2010,CASSAVA,"9,870.00",32,"315,840.00"
CENTRAL,ASSIN SOUTH,2010,CASSAVA,"4,660.00",13,"60,580.00"
CENTRAL,ASSIN NORTH,2010,CASSAVA,"9,580.00",13,"124,540.00"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2010,CASSAVA,"4,950.00",9,"44,550.00"
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2010,CASSAVA,"4,600.00",13.85,"63,710.00"
CENTRAL,MFANTSIMAN,2010,CASSAVA,"9,840.00",9.4,"92,496.00"
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2010,CASSAVA,"15,140.00",14,"211,960.00"
CENTRAL,AJUMAKO-ENYAN-ESIAM,2010,CASSAVA,"6,350.00",19.65,"124,777.50"
CENTRAL,AWUTU-EFUTU-SENYA,2010,CASSAVA,"30,710.00",13.5,"414,585.00"
CENTRAL,GOMOA,2010,CASSAVA,"3,450.00",15,"51,750.00"
CENTRAL,CAPE COAST,2010,CASSAVA,"7,200.00",16.5,"118,800.00"
CENTRAL,AGONA,2010,CASSAVA,"5,210.00",21.5,"112,015.00"
CENTRAL,UPPER DENKYIRA,2010,YAM,465,5.8,"2,697.00"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2010,YAM,395,4.5,"1,777.50"
CENTRAL,ASSIN SOUTH,2010,YAM,85,5.4,459
CENTRAL,ASSIN NORTH,2010,YAM,210,5.5,"1,155.00"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2010,YAM,115,5.15,592.25
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2010,YAM,20,4.5,90
CENTRAL,AJUMAKO-ENYAN-ESIAM,2010,YAM,810,4.4,"3,564.00"
CENTRAL,AWUTU-EFUTU-SENYA,2010,YAM,200,5.64,"1,128.00"
CENTRAL,GOMOA,2010,YAM,12,5,60
CENTRAL,AGONA,2010,YAM,505,8.5,"4,292.50"
EASTERN,BIRIM SOUTH,2010,MAIZE,"14,700.00",2.5,"36,750.00"
EASTERN,WEST AKIM,2010,MAIZE,"13,850.00",2.5,"34,625.00"
EASTERN,SUHUM KRABOA COALTAR,2010,MAIZE,"8,200.00",2.3,"18,860.00"
EASTERN,AKUAPIM SOUTH,2010,MAIZE,"6,700.00",2.2,"14,740.00"
EASTERN,AKUAPIM NORTH,2010,MAIZE,"9,000.00",2.35,"21,150.00"
EASTERN,NEW JUABEN,2010,MAIZE,"5,100.00",2.3,"11,730.00"
EASTERN,YILO KROBO,2010,MAIZE,"9,500.00",2.3,"21,850.00"
EASTERN,EAST AKIM,2010,MAIZE,"5,800.00",2,"11,600.00"
EASTERN,ATIWA,2010,MAIZE,"7,200.00",2,"14,400.00"
EASTERN,KWAEBIBIREM,2010,MAIZE,"6,500.00",2.5,"16,250.00"
EASTERN,BIRIM NORTH,2010,MAIZE,"12,000.00",1.8,"21,600.00"
EASTERN,KWAHU WEST,2010,MAIZE,"4,000.00",2.1,"8,400.00"
EASTERN,KWAHU WEST,2010,MAIZE,"6,000.00",1.8,"10,800.00"
EASTERN,FANTEAKWA,2010,MAIZE,"15,500.00",1.9,"29,450.00"
EASTERN,AFRAM PLAINS,2010,MAIZE,"26,700.00",2.3,"61,410.00"
EASTERN,ASUOGYAMAN,2010,MAIZE,"8,800.00",1.8,"15,840.00"
EASTERN,MANYA KROBO,2010,MAIZE,"13,500.00",2.3,"31,050.00"
EASTERN,BIRIM SOUTH,2010,RICE,"3,000.00",3.2,"9,600.00"
EASTERN,WEST AKIM,2010,RICE,20,2.8,56
EASTERN,EAST AKIM,2010,RICE,30,2.7,81
EASTERN,ATIWA,2010,RICE,130,2.8,364
EASTERN,KWAEBIBIREM,2010,RICE,900,3.1,"2,790.00"
EASTERN,BIRIM NORTH,2010,RICE,"1,400.00",3.2,"4,480.00"
EASTERN,KWAHU WEST,2010,RICE,30,3.4,102
EASTERN,FANTEAKWA,2010,RICE,20, -   , -   
EASTERN,AFRAM PLAINS,2010,RICE,100,2.3,230
