YEAR,MONTH,COMMODITY,"WEIGHT, KG PER BAG"," PRICE, ¢ GH"
2012,MARCH,COCOYAM,91,61.87
2012,APRIL,COCOYAM,91,57.3
2012,MAY,COCOYAM,91,73.97
2012,JUNE,COCOYAM,91,80.8
2012,JULY,COCOYAM,91,84.3
2012,AUGUST,COCOYAM,91,83.42
2012,SEPTEMBER,COCOYAM,91,82.44
2012,OCTOBER,COCOYAM,91,84.4
2012,NOVEMBER,COCOYAM,91,86.7
2012,DECEMBER,COCOYAM,91,87.5
2013,JANUARY,COCOYAM,91,91.74
2013,FEBRUARY,COCOYAM,91,104.52
2013,MARCH,COCOYAM,91,103.1
2013,APRIL,COCOYAM,91,102.85
2013,MAY,COCOYAM,91,105.1
2013,JUNE,COCOYAM,91,118.64
2013,JULY,COCOYAM,91,118.4
2013,AUGUST,COCOYAM,91,124.43
2013,SEPTEMBER,COCOYAM,91,108.54
2013,OCTOBER,COCOYAM,91,106.7
2013,NOVEMBER,COCOYAM,91,89.44
2013,DECEMBER,COCOYAM,91,114.24
2013,JANUARY,COCOYAM,91,107.93
2014,FEBRUARY,COCOYAM,91,102.39
2014,MARCH,COCOYAM,91,107.77
2014,APRIL,COCOYAM,91,114.49
2014,MAY,COCOYAM,91,113.8
2014,JUNE,COCOYAM,91,122.25
2014,JULY,COCOYAM,91,122.81
2014,AUGUST,COCOYAM,91,125.35
2014,SEPTEMBER,COCOYAM,91,121.2
2014,OCTOBER,COCOYAM,91,124.86
2014,NOVEMBER,COCOYAM,91,146.93
2014,DECEMBER,COCOYAM,91,125.05
2015,JANUARY,COCOYAM,91,131.18
2015,FEBRUARY,COCOYAM,91,140.41
2015,MARCH,COCOYAM,91,114.17
2015,APRIL,COCOYAM,91,137.9
2015,MAY,COCOYAM,91,140.4
2015,JUNE,COCOYAM,91,140.12
2015,JULY,COCOYAM,91,146.57
2015,AUGUST,COCOYAM,91,148.3
2015,SEPTEMBER,COCOYAM,91,131.2
2015,OCTOBER,COCOYAM,91,125.27
2015,NOVEMBER,COCOYAM,91,156.74
2015,DECEMBER,COCOYAM,91,148.98
2016,JANUARY,COCOYAM,91,145.01
2016,FEBRUARY,COCOYAM,91,166.03
2016,MARCH,COCOYAM,91,164.33
2016,APRIL,COCOYAM,91,215.65
2016,MAY,COCOYAM,91,248.78
2016,JUNE,COCOYAM,91,229.63
2016,JULY,COCOYAM,91,244.35
2016,AUGUST,COCOYAM,91,215.61
2016,SEPTEMBER,COCOYAM,91,209.91
2016,OCTOBER,COCOYAM,91,210.83
2016,NOVEMBER,COCOYAM,91,194.02
2016,DECEMBER,COCOYAM,91,182.85
2017,JANUARY,COCOYAM,91,197.58
2017,FEBRUARY,COCOYAM,91,194.07
2017,MARCH,COCOYAM,91,197.92
2017,APRIL,COCOYAM,91,202.72
2017,MAY,COCOYAM,91,239.59
2017,JUNE,COCOYAM,91,219.08
2017,JULY,COCOYAM,91,196.04
2017,AUGUST,COCOYAM,91,208.95
2017,SEPTEMBER,COCOYAM,91,193.72
2017,OCTOBER,COCOYAM,91,210.27
2017,NOVEMBER,COCOYAM,91,197.45
2017,DECEMBER,COCOYAM,91,195.17
